,calories_day,weight
1,3.0,155.0
4,2.0,190.0
5,3.0,190.0
6,3.0,180.0
7,3.0,137.0
9,3.0,125.0
10,3.0,116.0
11,4.0,110.0
12,3.0,264.0
13,3.0,123.0
14,3.0,185.0
16,3.0,145.0
17,3.0,170.0
18,3.0,135.0
19,2.0,165.0
20,3.0,175.0
21,3.0,195.0
22,3.0,185.0
23,3.0,185.0
24,2.0,105.0
25,3.0,125.0
26,2.0,160.0
27,4.0,175.0
28,2.0,180.0
29,2.0,167.0
30,3.0,115.0
31,3.0,205.0
33,3.0,128.0
34,3.0,150.0
35,2.0,150.0
36,3.0,150.0
37,4.0,170.0
38,3.0,150.0
40,3.0,140.0
41,4.0,120.0
42,3.0,135.0
43,2.0,100.0
44,4.0,170.0
45,3.0,113.0
46,2.0,168.0
49,3.0,150.0
50,3.0,169.0
51,4.0,185.0
52,4.0,200.0
54,3.0,165.0
55,2.0,192.0
56,4.0,175.0
57,4.0,140.0
58,3.0,155.0
60,4.0,135.0
61,2.0,118.0
62,4.0,210.0
63,4.0,180.0
64,3.0,140.0
66,3.0,125.0
68,3.0,145.0
69,4.0,130.0
70,3.0,140.0
72,3.0,140.0
73,4.0,200.0
75,3.0,120.0
76,3.0,150.0
77,2.0,200.0
78,3.0,135.0
79,3.0,145.0
80,2.0,130.0
81,3.0,190.0
83,3.0,127.0
84,3.0,167.0
85,3.0,140.0
86,3.0,190.0
87,3.0,155.0
88,4.0,175.0
89,3.0,129.0
90,4.0,260.0
91,2.0,135.0
94,3.0,175.0
96,3.0,210.0
97,3.0,155.0
98,3.0,185.0
99,4.0,165.0
100,3.0,125.0
102,4.0,135.0
103,3.0,130.0
104,3.0,230.0
105,3.0,125.0
106,3.0,130.0
107,3.0,165.0
108,2.0,128.0
109,3.0,200.0
110,3.0,160.0
111,2.0,170.0
112,4.0,129.0
113,2.0,170.0
114,3.0,138.0
115,4.0,150.0
118,3.0,140.0
119,3.0,185.0
120,4.0,156.0
121,2.0,180.0
123,4.0,135.0
